ID,sensor,measurement
id0067,s2,1151.4242190852
id0068,s1,705.550991979413
id0068,s2,1727.16505951422
id0068,s1,756.201628761053
id0068,s2,1619.12015311603
id0069,s1,921.120513482384
id0069,s2,1756.22608616152
id0069,s1,902.097882390154
id0069,s2,1557.58454115081
id0070,s1,1721.60729371733
id0070,s2,1458.71381707561
id0070,s1,1621.59596620503
id0070,s2,1448.11642369374
id0071,s1,1471.59765890355
id0071,s2,1347.21490157288
id0071,s1,1328.35757564262
id0071,s2,1302.49149352314
id0072,s1,558.773941816294
id0072,s2,1177.90573559604
id0072,s1,586.876185618519
id0072,s2,1027.95755761955
id0073,s1,942.157441035783
id0073,s2,1243.98016116085
id0073,s1,892.819059192479
id0073,s2,1287.61590625341
id0074,s1,920.952552959872
id0074,s2,1639.61832351279
id0074,s1,904.454910268194
id0074,s2,1400.24355926744
id0075,s1,1757.59593844735
id0075,s2,2798.71281271998
id0075,s1,1463.97777551483
id0075,s2,2418.01811773881
id0076,s1,852.123829659217
id0076,s2,2834.55676005569
id0076,s1,787.40825848549
id0076,s2,2486.3178154697
id0077,s1,1114.26682017515
id0077,s2,1265.50340230934
id0077,s1,1140.38572019016
id0077,s2,1155.83372878054
id0078,s1,1594.16792762445
id0078,s2,1349.18927149246
id0078,s1,1539.0765089397
id0078,s2,1018.48226730927
id0079,s1,558.189686332205
id0079,s2,1311.68741352304
id0079,s1,432.339392076295
id0079,s2,1124.05632011018
id0080,s1,2207.45527444601
id0080,s2,1615.8511540557
id0080,s1,2122.20790861456
id0080,s2,1407.54929351991
id0081,s1,1969.98336037801
id0081,s2,1426.28490191908
id0081,s1,2112.604042436
id0081,s2,1276.85196247065
id0082,s1,2842.20250821504
id0082,s2,1352.77781088468
id0082,s1,2683.52224274922
id0082,s2,1246.67542996686
id0083,s1,372.99305039442
id0083,s2,1088.05448665845
id0083,s1,423.226250313433
id0083,s2,949.509437141389
id0084,s1,921.26869221569
id0084,s2,1199.03847271634
id0084,s1,805.094811024947
id0084,s2,1093.12174123014
id0085,s1,480.270212357293
id0085,s2,1694.18889477737
id0085,s1,421.712137440362
id0085,s2,1564.0777502357
id0086,s1,1210.22021401872
id0086,s2,1514.37215399161
id0086,s1,1288.52492578448
id0086,s2,1588.857259508
id0087,s1,620.10515100581
id0087,s2,1034.94638818487
id0087,s1,622.352280843425
id0087,s2,893.41017855114
id0088,s1,937.772441572205
id0088,s2,1763.86779389702
id0088,s1,866.844874540261
id0088,s2,1585.19212459288
id0089,s1,363.660155758456
id0089,s2,1324.34231748387
id0089,s1,355.394775686061
id0089,s2,1365.00909451508
id0090,s1,278.252236020121
id0090,s2,1959.82088649474
id0090,s1,343.304331432255
id0090,s2,1698.64090657963
id0091,s1,911.961771695448
id0091,s2,944.565653397628
id0091,s1,1046.83277728826
id0091,s2,864.229878656117
id0092,s1,863.859305277152
id0092,s2,1307.69719073607
id0092,s1,837.60154538252
id0092,s2,1252.26461912685
id0093,s1,520.589333539925
id0093,s2,2190.34350909703
id0093,s1,529.451579533361
id0093,s2,1978.83738490296
id0094,s1,348.163138411054
id0094,s2,1377.91033326937
id0094,s1,359.745985283624
id0094,s2,1289.46410444454
id0095,s1,377.998919249835
id0095,s2,1122.21061916962
id0095,s1,583.417198953754
id0095,s2,1136.71431013111
id0096,s1,340.978828176655
id0096,s2,1038.85367021437
id0096,s1,357.500140494879
id0096,s2,939.706198268394
id0097,s1,3676.14080912619
id0097,s2,1724.03359337237
id0097,s1,3539.12810718669
id0097,s2,1704.04098083977
id0098,s1,1101.82081556637
